DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,PTS,Min,2PT,3PT,RB,Off Reb,Def Reb,AST,STL,BLK,TO
123876-145331,Tyrese Maxey,PG,PHI,WAS,,10400,0,50.24,,50.24,4.830769230769231,29.87,24.360144848129814,0,100,123.2037,235.65800000000002,51.7265,43.7188,51.125,58.125,61.75,68.5,76.5013,50.2387,42.2,49.425,56.55,60.15,66.8025,74.7015,50.2387,42.2,49.425,56.55,60.15,66.8025,74.7015,50.6444,42.9,49.95,56.85,60.45,66.85,74.45,10.8026,10.7117,10.7117,10.488,31.1684,36.4614,6.99758,4.07308,3.72717,0.8065,2.92067,7.08358,1.24759,0.496166,2.12367
123876-145321,Anthony Edwards,SG/SF,MIN,NO,,9500,0,46.05,,46.05,4.847368421052631,30.05,24.85438638764874,0,100,122.279,231.5085,47.8006,41.375,48.25,55.5,59.5,65.8812,73.1263,46.0549,39.55,46.6,53.55,57.7,64.15,71.4515,46.0549,39.55,46.6,53.55,57.7,64.15,71.4515,46.9373,40.6,47.35,54.25,58.2,64.6,71.651,10.5018,10.4642,10.4642,10.2364,30.9666,34.5759,7.27571,3.85788,4.44925,0.887917,3.56134,5.20341,1.12159,0.681834,2.81554
123876-157822,Scottie Barnes,PF/SF,TOR,POR,,8800,0,44.78,,44.78,5.088636363636364,34.66,28.73717603203193,0,100,117.8093,231.7748,44.2063,36.375,42.875,49.375,53.25,59.5,66.8763,44.7787,36.5,43.3,50.25,54.25,61.1025,68.85,44.7787,36.5,43.3,50.25,54.25,61.1025,68.85,45.3459,37.2,43.925,50.75,54.5575,61.3025,68.652,9.75128,10.3604,10.3604,10.0962,19.4862,33.6635,6.30625,1.23942,8.64258,2.10058,6.542,5.2205,1.38975,1.435,2.60892
123876-145539,Deni Avdija,SF/PF,POR,TOR,,9600,0,44.13,,44.13,4.596875000000001,15.76,15.37102089941119,0,100,113.9655,231.7748,45.5863,36,43,50,53.875,60.625,68,44.1339,34.55,41.45,48.5,52.5,59.4,66.7,44.1339,34.55,41.45,48.5,52.5,59.4,66.7,45.1961,35.85,42.65,49.5,53.4,60.1,67.15,10.3462,10.4571,10.4571,10.2257,23.0655,34.4632,5.78242,2.4515,5.98625,1.40742,4.57884,6.53241,0.91425,0.68725,3.18492
123876-67026,Jaylen Brown,SF/SG,BOS,NY,,9200,0,44.08,,44.08,4.791304347826087,22.47,20.03445561316326,0,100,115.1897,230.1754,45.3004,37.25,44,50.9062,54.625,61.25,68.6263,44.08,35.9,42.7,49.8,53.5,60.4,67.9005,44.08,35.9,42.7,49.8,53.5,60.4,67.9005,44.7433,36.7,43.3,50.2125,53.9,60.5025,67.8005,10.1277,10.217,10.217,9.96113,26.1763,33.7426,7.65267,2.36467,6.05367,1.51516,4.5385,5.00016,1.06375,0.400916,2.33108
123876-80810,De'Aaron Fox,PG,SA,MEM,,8400,0,43.11,,43.11,5.132142857142857,29.86,24.889008679379142,0,100,117.953,232.11970000000002,43.8248,37.25,43.75,50.125,53.75,59.8812,66.5013,43.1054,36.4,43,49.6,53.3,59.7,66.85,43.1054,36.4,43,49.6,53.3,59.7,66.85,43.6802,37.15,43.55,49.9,53.55,59.7025,66.4505,9.60166,9.87279,9.87279,9.55656,23.9671,32.6011,6.45458,2.24708,3.87775,0.85775,3.02,7.58933,1.43184,0.45275,2.50675
123876-58462,Karl-Anthony Towns,C/PF,NY,BOS,,9000,0,42.02,,42.02,4.668888888888889,19.52,17.564852664137618,0,100,114.9857,230.1754,43.2919,35,41.625,48.375,51.875,58.5,66.375,42.0236,33.6,40.2,47,50.7,57.255,65.3005,42.0236,33.6,40.2,47,50.7,57.255,65.3005,42.6966,34.35,40.95,47.6,51.2575,57.805,65.701,9.95576,9.96121,9.96121,9.81034,22.2295,32.9378,5.94958,2.043,11.3944,2.63108,8.76325,1.7865,0.582,0.717833,1.98467
123876-84690,Jalen Brunson,PG,NY,BOS,,8600,0,41.53,,41.53,4.829069767441861,26.04,22.8386141587282,0,100,114.9857,230.1754,43.4108,35.375,42.25,49.25,52.875,59.1312,66.875,41.5313,33.55,40.25,47.2,50.8,57.1,64.4005,41.5313,33.55,40.25,47.2,50.8,57.1,64.4005,42.3839,34.6,41.15,47.95,51.55,57.6525,64.9005,10.2992,10.1187,10.1187,9.95212,27.7614,34.7272,7.50842,2.70166,2.961,0.670334,2.29066,6.02525,0.634667,0.17925,2.43575
123876-66048,Brandon Ingram,SF/PF,TOR,POR,,7800,0,40.14,,40.14,5.1461538461538465,26.44,23.423414933464127,0,100,117.8093,231.7748,40.7185,34.25,40.75,47.125,50.6437,57.125,64.875,40.1408,33.35,40.2,46.85,50.55,57.0525,65.0505,40.1408,33.35,40.2,46.85,50.55,57.0525,65.0505,40.9841,34.4,41.05,47.5,51.0575,57.4525,65.1005,9.70749,10.0648,10.0648,9.78388,24.0961,33.4025,7.07233,1.67475,5.87233,1.387,4.48533,4.01367,1.26033,0.756416,2.91242
123876-42669,Julius Randle,PF,MIN,NO,,8000,0,38.96,,38.96,4.87,21.73,19.94589543508794,0,100,122.279,231.5085,40.4379,33.375,39.375,45.5,49.125,55.3812,61.75,38.9612,31.95,37.9,44.15,47.65,53.7525,60.502,38.9612,31.95,37.9,44.15,47.65,53.7525,60.502,39.863,32.9,38.75,44.8,48.45,54.3,61,9.24669,9.23524,9.23524,9.06701,20.1405,31.4622,5.24308,2.038,6.41567,1.28983,5.12583,6.332,0.689166,0.390458,2.42133
