game_date,player,pos,team,opp,salary,proj_mins,ownership,fp_proj,projected_value,status,game_info,team_full_name,opp_full_name,db_player,gp_sl,usg_pct_sl,fp_sl,touches_sl,min_sl,poss_sl,gp_l10,usg_pct_l10,fp_l10,touches_l10,min_l10,poss_l10,gp_l5,usg_pct_l5,fp_l5,touches_l5,min_l5,poss_l5,gp_l3,usg_pct_l3,fp_l3,touches_l3,min_l3,poss_l3,fppm_sl,fppt_sl,fppp_sl,tpm_sl,tpp_sl,team_poss_sl,poss_pct_sl,implied_poss_sl,touches_ip_sl,touches_tpm_sl,fp_proj_it_sl,fp_proj_tpm_sl,team_fp_sl,fp_per_sl,fppm_l10,fppt_l10,fppp_l10,tpm_l10,tpp_l10,team_poss_l10,poss_pct_l10,implied_poss_l10,touches_ip_l10,touches_tpm_l10,fp_proj_it_l10,fp_proj_tpm_l10,team_fp_l10,fp_per_l10,fppm_l5,fppt_l5,fppp_l5,tpm_l5,tpp_l5,team_poss_l5,poss_pct_l5,implied_poss_l5,touches_ip_l5,touches_tpm_l5,fp_proj_it_l5,fp_proj_tpm_l5,team_fp_l5,fp_per_l5,fppm_l3,fppt_l3,fppp_l3,tpm_l3,tpp_l3,team_poss_l3,poss_pct_l3,implied_poss_l3,touches_ip_l3,touches_tpm_l3,fp_proj_it_l3,fp_proj_tpm_l3,team_fp_l3,fp_per_l3,team_salary,salary_share,team_ownership,team_minutes,minutes_avail
2025-11-17,Nikola Jokic,C,DEN,CHI,12800,33.40,10.76,67.38,5.26,P,,Denver Nuggets,Chicago Bulls,Nikola Jokić,12.00,0.26,65.10,97.80,34.10,874.00,10.00,0.27,66.90,97.90,33.70,719.00,5.00,0.31,65.40,95.40,32.70,349.00,3.00,0.31,69.90,100.00,34.50,223.00,1.91,0.67,0.89,2.87,1.34,1220,71.64,102.12,98.24,95.79,65.39,63.76,203.60,31.97,1.99,0.68,0.93,2.91,1.36,1008,71.33,101.83,98.90,97.03,67.58,66.31,202.50,33.04,2.00,0.69,0.94,2.92,1.37,495,70.51,101.83,98.13,97.44,67.27,66.80,206.90,31.61,2.03,0.70,0.94,2.90,1.35,297,75.08,101.70,102.73,96.81,71.81,67.67,202.90,34.45,45700.00,28.01,73.89,197.97,42.03
2025-11-17,Shai Gilgeous-Alexander,PG,OKC,NO,11400,30.00,4.24,53.72,4.71,,,Oklahoma City Thunder,New Orleans Pelicans,Shai Gilgeous-Alexander,14.00,0.33,53.80,69.10,33.60,982.00,10.00,0.32,53.10,64.00,31.30,670.00,5.00,0.32,53.90,59.60,30.40,323.00,3.00,0.33,56.10,59.00,29.10,186.00,1.60,0.78,0.77,2.06,0.99,1440,68.19,99.99,67.17,61.71,52.30,48.04,253.10,21.26,1.70,0.83,0.79,2.04,0.96,1014,66.07,100.65,63.53,61.35,52.71,50.90,250.50,21.20,1.77,0.90,0.83,1.96,0.92,504,64.09,100.60,59.48,58.82,53.79,53.20,241.30,22.34,1.93,0.95,0.90,2.03,0.95,299,62.21,100.50,59.49,60.83,56.57,57.84,234.70,23.90,52100.00,21.88,45.81,220.09,19.91
2025-11-17,Karl-Anthony Towns,C/PF,NY,MIA,9500,35.01,24.68,49.59,5.22,,,New York Knicks,Miami Heat,Karl-Anthony Towns,12.00,0.26,45.00,58.00,33.10,851.00,10.00,0.25,46.10,59.00,33.30,716.00,5.00,0.26,47.50,58.80,32.80,354.00,3.00,0.26,51.10,67.70,34.70,232.00,1.36,0.78,0.63,1.75,0.82,1205,70.62,103.48,59.77,61.34,46.37,47.59,173.30,25.97,1.38,0.78,0.64,1.77,0.82,1007,71.10,103.12,60.42,62.03,47.21,48.47,175.00,26.34,1.45,0.81,0.67,1.79,0.83,505,70.10,103.75,60.40,62.76,48.79,50.70,186.70,25.44,1.47,0.75,0.66,1.95,0.88,313,74.12,104.53,67.83,68.30,51.20,51.55,195.50,26.14,43300.00,21.94,95.11,209.60,30.40
2025-11-17,Tyrese Maxey,PG,PHI,LAC,10100,36.82,8.33,49.31,4.88,,,Philadelphia 76ers,LA Clippers,Tyrese Maxey,12.00,0.30,54.10,102.90,40.40,1011.00,10.00,0.30,54.00,103.40,40.10,834.00,5.00,0.31,49.80,99.60,38.10,394.00,3.00,0.34,49.20,97.70,37.10,226.00,1.34,0.53,0.64,2.55,1.22,1213,83.35,98.52,100.29,93.78,52.73,49.31,181.50,29.81,1.35,0.52,0.65,2.58,1.24,1009,82.66,98.17,100.60,94.94,52.54,49.58,187.50,28.80,1.31,0.50,0.63,2.61,1.26,499,78.96,97.81,97.61,96.25,48.81,48.13,182.80,27.24,1.33,0.50,0.65,2.63,1.30,293,77.13,98.08,98.11,96.96,49.41,48.83,171.70,28.65,37500.00,26.93,48.04,177.84,62.16
2025-11-17,Giannis Antetokounmpo,PF,MIL,CLE,12300,33.04,8.20,48.31,3.93,,,Milwaukee Bucks,Cleveland Cavaliers,Giannis Antetokounmpo,12.00,0.35,59.80,83.10,33.40,854.00,8.00,0.35,56.60,84.40,33.70,571.00,4.00,0.35,54.70,93.50,36.20,303.00,2.00,0.34,56.00,91.00,36.00,148.00,1.79,0.72,0.84,2.49,1.17,1426,59.89,102.14,71.43,82.21,51.40,59.16,228.40,26.18,1.68,0.67,0.79,2.50,1.18,1015,56.26,101.54,67.55,82.76,45.30,55.50,224.80,25.18,1.51,0.59,0.72,2.58,1.23,502,60.36,100.85,75.14,85.35,43.96,49.93,222.00,24.64,1.56,0.62,0.76,2.53,1.23,301,49.17,100.40,60.71,83.53,37.36,51.40,214.70,26.08,52100.00,23.61,22.95,229.96,10.04
2025-11-17,Julius Randle,PF,MIN,DAL,9100,31.62,2.90,46.04,5.06,,,Minnesota Timberwolves,Dallas Mavericks,Julius Randle,13.00,0.27,45.70,66.80,33.60,934.00,10.00,0.27,46.10,67.10,33.10,713.00,5.00,0.27,46.00,63.80,31.50,354.00,3.00,0.25,50.30,68.30,34.90,235.00,1.36,0.68,0.64,1.99,0.93,1317,70.92,102.09,67.32,62.87,46.05,43.01,226.90,20.14,1.39,0.69,0.65,2.03,0.94,1016,70.18,102.09,67.42,64.11,46.32,44.04,237.00,19.45,1.46,0.72,0.65,2.03,0.90,522,67.82,103.78,63.42,64.05,45.73,46.18,235.90,19.50,1.44,0.74,0.64,1.96,0.87,309,76.05,103.05,68.33,61.89,50.32,45.58,231.00,21.77,49400.00,18.42,57.68,214.39,25.61
2025-11-17,Scottie Barnes,PF/SF,TOR,CHA,8800,31.97,10.88,45.60,5.18,,,Toronto Raptors,Charlotte Hornets,Scottie Barnes,13.00,0.23,44.70,67.30,32.50,899.00,10.00,0.23,44.40,64.70,32.10,663.00,5.00,0.21,45.80,65.60,32.70,343.00,3.00,0.21,49.30,64.30,32.30,200.00,1.38,0.66,0.65,2.07,0.97,1326,67.80,101.50,66.97,66.19,44.48,43.97,237.00,18.86,1.38,0.69,0.67,2.02,0.98,997,66.50,99.68,64.69,64.43,44.39,44.21,237.50,18.69,1.40,0.70,0.67,2.01,0.96,504,68.06,99.38,64.68,64.13,45.15,44.77,253.70,18.05,1.53,0.77,0.74,1.99,0.96,301,66.45,98.48,63.11,63.63,48.39,48.79,254.60,19.36,51800.00,16.99,59.91,225.68,14.32
2025-11-17,Anthony Edwards,SG/SF,MIN,DAL,9400,33.76,16.34,45.40,4.83,,,Minnesota Timberwolves,Dallas Mavericks,Anthony Edwards,9.00,0.32,41.20,67.70,30.40,589.00,6.00,0.32,45.10,76.00,32.70,427.00,5.00,0.33,48.50,77.80,33.50,368.00,3.00,0.32,51.20,87.30,37.20,247.00,1.36,0.61,0.63,2.23,1.03,1317,44.72,102.09,47.23,75.18,28.74,45.75,226.90,18.16,1.38,0.59,0.63,2.32,1.07,1016,42.03,102.09,45.82,78.46,27.19,46.56,237.00,19.03,1.45,0.62,0.66,2.32,1.06,522,70.50,103.78,77.34,78.40,48.21,48.87,235.90,20.56,1.38,0.59,0.62,2.35,1.06,309,79.94,103.05,87.34,79.22,51.22,46.46,231.00,22.16,49400.00,19.03,57.68,214.39,25.61
2025-11-17,Donovan Mitchell,SG/PG,CLE,MIL,9300,33.03,13.74,42.19,4.54,,,Cleveland Cavaliers,Milwaukee Bucks,Donovan Mitchell,12.00,0.31,46.70,79.40,33.90,895.00,8.00,0.30,49.60,82.90,34.20,597.00,4.00,0.32,50.20,96.80,36.20,315.00,2.00,0.36,47.40,89.50,34.30,148.00,1.38,0.59,0.63,2.34,1.06,1453,61.60,102.14,66.98,77.35,39.39,45.50,241.90,19.31,1.45,0.60,0.66,2.42,1.11,1036,57.63,101.54,65.00,80.05,38.89,47.90,244.60,20.28,1.39,0.52,0.64,2.67,1.23,525,60.00,100.85,74.38,88.31,38.57,45.80,249.90,20.09,1.38,0.53,0.64,2.61,1.21,310,47.74,100.40,57.97,86.18,30.70,45.64,260.40,18.20,52100.00,17.85,45.06,222.06,17.94
2025-11-17,Josh Giddey,PG/SG,CHI,DEN,9600,31.72,9.16,39.32,4.10,,,Chicago Bulls,Denver Nuggets,Josh Giddey,10.00,0.28,49.40,102.10,34.90,757.00,8.00,0.27,52.50,106.60,36.00,621.00,3.00,0.27,51.10,112.30,36.60,242.00,1.00,0.28,67.10,135.00,42.30,93.00,1.42,0.48,0.65,2.93,1.35,1265,59.84,102.12,82.42,92.80,39.88,44.90,218.60,22.60,1.46,0.49,0.68,2.96,1.37,1052,59.03,101.83,82.55,93.93,40.65,46.26,224.50,23.39,1.40,0.46,0.63,3.07,1.39,546,44.32,101.83,62.83,97.33,28.59,44.29,223.70,22.84,1.59,0.50,0.72,3.19,1.45,337,27.60,101.70,40.74,101.24,20.25,50.32,247.80,27.08,45300.00,21.19,48.93,207.02,32.98
2025-11-17,Mikal Bridges,SG/SF,NY,MIA,7400,36.00,14.81,37.65,5.09,,,New York Knicks,Miami Heat,Mikal Bridges,12.00,0.16,36.20,64.80,34.70,879.00,10.00,0.16,35.90,64.70,34.80,728.00,5.00,0.17,35.00,64.00,33.80,352.00,3.00,0.19,40.30,76.70,36.10,234.00,1.04,0.56,0.49,1.87,0.88,1205,72.95,103.48,66.78,67.24,37.30,37.56,173.30,20.89,1.03,0.55,0.49,1.86,0.89,1007,72.29,103.12,66.25,66.94,36.76,37.14,175.00,20.51,1.04,0.55,0.50,1.89,0.91,505,69.70,103.75,65.74,68.17,35.95,37.28,186.70,18.75,1.12,0.53,0.52,2.12,0.98,313,74.76,104.53,76.84,76.50,40.38,40.19,195.50,20.61,43300.00,17.09,95.11,209.60,30.40
